Rotator
v0.2
Icebrick-BM
{F7},	ArcTorr,	4,	2345,		530747,		2377088,	16776191
5,		Stampede,	4,	4864000,	6382177,	5726535,	16776960
2,		FocusFir,	1,	8084736,	7623168,	9861169,	14733462
{F3},	DireBest,	1,	527376,		10066329,	4351347,	529432
{F5},	BeastWra,	1,	2892069,	10066329,	1313549,	10233897
{F5},	BeastWra,	1,	8150632,	10066329,	3743524,	10233897
{F4},	KillShtS,	2,	0,			10066329,	14296615,	5924211
{F4},	KillShtM,	3,	0,			10066329,	14362151,	5924211
3,		CobraS,		2,	2956837,	4927284,	3417397,	2695731
3,		CobraM,		3,	2562849,	3022628,	2497059,	2234400
4,		BarrageS,	2,	6072269,	1337500,	10074557,	7384542
4,		BarrageM,	3,	6006733,	1337242,	10074557,	7384542
4,		GtossS,		2,	9149083,	257,		8638689,	4800539
4,		GTossM,		3,	9214876,	257,		8638689,	4800539
3,		CFocusS,	2,	5341205,	2237723,	7195139,	8492688
3,		CFocusM,	3,	5341461,	2369309,	7195139,	8558480
6,		KillCmdS,	2,	7538696,	2099200,	65792,		2164744
6,		KillCmdM,	3,	7538696,	2099200,	65792,		2164744
1,		ArcaneS,	2,	1441853,	1120537,	984627,		11243342
1,		ArcaneM,	3,	1441853,	1120537,	919091,		11308878
7,		MultiShM,	3,	1509647,	3083303,	4204072,	0
7,		MltiSh2M,	3,	2162721,	2031647,	11363691,	0
F1,		PoisonAmM,	3,	14149589,	10066329,	3228957,	4542496
